                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1878,                 3.2896,                 1.4955,                0.47769,                0.37781,                0.32375,                0.15393,                  1.916,                 2.1543,                 1.4097,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.9626,                 1.9549,                 1.3716,                0.39387,                0.10723,                0.09547,                0.05259,                 1.6898,                 3.2227,                 1.3157,             0.00011438,             0.00011438,             0.00011438
                      3,                 1.8119,                 1.6359,                 1.3123,                0.36514,                0.10323,                0.09608,                0.04992,                 1.6936,                 4.2144,                 1.2938,             0.00017611,             0.00017611,             0.00017611
                      4,                 1.7051,                 1.6219,                 1.2892,                0.42647,                0.65092,                0.57809,                0.32001,                 1.4902,                 2.7755,                 1.2504,              0.0002352,              0.0002352,              0.0002352
                      5,                 1.7056,                 1.4502,                 1.2529,                0.61299,                0.43231,                0.54843,                0.29173,                 1.6646,                  2.165,                 1.3076,             0.00029164,             0.00029164,             0.00029164
                      6,                 1.6765,                 1.3484,                 1.2313,                 0.5427,                 0.6428,                0.64603,                0.35768,                 1.4809,                 1.8223,                 1.2779,             0.00034545,             0.00034545,             0.00034545
                      7,                 1.6277,                 1.3575,                 1.2373,                0.75156,                0.64738,                0.71149,                0.35653,                 1.6588,                  1.635,                 1.2672,             0.00039662,             0.00039662,             0.00039662
                      8,                 1.6018,                 1.3455,                 1.2408,                0.69359,                0.47385,                0.55393,                0.30897,                 1.5965,                  1.543,                 1.3107,             0.00044515,             0.00044515,             0.00044515
                      9,                 1.6428,                 1.4686,                 1.2351,                0.62552,                  0.542,                0.56859,                0.32227,                 1.6081,                  1.638,                 1.3403,             0.00049103,             0.00049103,             0.00049103
                     10,                 1.5997,                 1.4864,                 1.2999,                0.65971,                0.53708,                0.52559,                0.26801,                 1.6481,                 2.4053,                 1.3246,             0.00053428,             0.00053428,             0.00053428
                     11,                 1.6001,                  1.404,                 1.2204,                0.60232,                0.48846,                0.51962,                0.28338,                 1.6957,                  2.016,                 1.3954,             0.00057488,             0.00057488,             0.00057488
                     12,                 1.6011,                 1.3072,                 1.2121,                0.60808,                0.35134,                0.38852,                0.21257,                 1.7443,                 1.8496,                 1.3712,             0.00061285,             0.00061285,             0.00061285
                     13,                 1.6273,                 1.3772,                 1.2333,                0.79569,                0.47708,                0.59003,                0.35939,                 1.5268,                 1.6684,                 1.2589,             0.00064817,             0.00064817,             0.00064817
                     14,                 1.6146,                 1.3144,                 1.2209,                0.57843,                0.48435,                0.51875,                0.30383,                 1.6416,                 1.9686,                  1.338,             0.00068085,             0.00068085,             0.00068085
                     15,                 1.5018,                 1.1626,                 1.2052,                0.70839,                  0.494,                0.56494,                0.34513,                 1.5179,                 1.7233,                 1.2654,              0.0007109,              0.0007109,              0.0007109
                     16,                 1.5174,                 1.0675,                 1.1938,                0.63298,                0.50532,                0.47816,                0.27522,                 1.6699,                 1.6836,                 1.3598,              0.0007383,              0.0007383,              0.0007383
                     17,                 1.5553,                 1.0643,                 1.2009,                0.66694,                0.54769,                0.50639,                0.30373,                 1.5473,                 1.6692,                 1.3333,             0.00076306,             0.00076306,             0.00076306
                     18,                  1.527,                 1.0355,                 1.1785,                0.60596,                0.53087,                0.54277,                0.31751,                 1.5674,                 1.7039,                 1.3151,             0.00078518,             0.00078518,             0.00078518
                     19,                 1.5639,                 1.1264,                 1.1965,                0.72098,                0.57569,                0.63401,                0.34875,                  1.592,                 1.5395,                 1.2683,             0.00080466,             0.00080466,             0.00080466
                     20,                 1.4955,                 1.0991,                 1.2083,                0.71613,                0.57692,                0.62509,                0.33299,                 1.6148,                 1.8083,                 1.2809,              0.0008215,              0.0008215,              0.0008215
                     21,                   1.42,                 1.0002,                 1.1834,                0.74821,                0.52734,                0.63368,                 0.3773,                  1.492,                 1.6462,                 1.2798,              0.0008357,              0.0008357,              0.0008357
                     22,                 1.4469,                 1.0912,                 1.1776,                0.66675,                0.64251,                0.63171,                0.38298,                 1.5363,                 1.4512,                 1.2958,             0.00084726,             0.00084726,             0.00084726
                     23,                 1.4358,                 1.0303,                  1.158,                0.78211,                0.65415,                0.69541,                 0.4301,                 1.5767,                 1.2448,                 1.2765,             0.00085618,             0.00085618,             0.00085618
                     24,                  1.515,                 1.0157,                 1.1714,                0.19544,                0.52514,                0.18324,                0.10384,                 1.5783,                 9.3097,                 1.2839,             0.00086246,             0.00086246,             0.00086246
                     25,                 1.4268,                 1.0236,                 1.1515,                0.12089,                0.45862,                0.10913,                 0.0631,                 1.5501,                 20.295,                 1.2974,             0.00086609,             0.00086609,             0.00086609
                     26,                 1.4285,                0.98637,                 1.1444,                0.19583,                0.49623,                 0.1763,                0.10825,                 1.4316,                 8.8473,                 1.2628,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.4158,                0.92947,                 1.1635,                0.32326,                0.60795,                0.32582,                0.20017,                 1.3974,                 2.5707,                  1.254,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.3631,                0.93057,                 1.1521,                0.78195,                0.64349,                0.70612,                 0.4446,                  1.398,                  1.373,                 1.2707,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.3429,                 0.8939,                 1.1403,                0.33701,                0.63323,                0.30221,                 0.1744,                 1.4566,                 3.7517,                 1.2713,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.2782,                0.93116,                 1.1355,                0.80784,                0.67349,                0.75908,                0.45453,                  1.431,                 1.0681,                 1.2516,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.3326,                0.85398,                 1.1084,                0.76046,                  0.756,                0.80467,                0.49329,                 1.3584,                 1.0317,                 1.2347,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.2525,                0.85353,                 1.0974,                0.88221,                0.70176,                0.83004,                0.53774,                 1.3039,                0.95925,                 1.2255,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.2243,                0.80693,                  1.103,                0.91239,                0.73225,                0.82842,                0.57219,                 1.2655,                0.92371,                 1.2156,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.2109,                0.78711,                 1.0622,                0.90195,                0.72538,                0.82953,                0.56887,                 1.2908,                0.90391,                 1.2251,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1953,                0.83156,                 1.1209,                 0.8758,                0.74156,                0.85494,                0.59148,                 1.2805,                0.86096,                 1.2215,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1787,                0.77759,                 1.0586,                0.81596,                 0.7549,                0.84815,                0.60569,                 1.2239,                 0.8416,                 1.1766,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1261,                0.75118,                 1.0765,                0.88279,                0.79185,                0.86248,                 0.6168,                 1.1548,                0.78649,                 1.1357,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1551,                0.73831,                 1.0804,                 0.8392,                0.78785,                0.85861,                 0.6033,                  1.185,                0.79756,                 1.1499,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1336,                0.72883,                 1.0835,                0.84531,                0.79585,                0.86564,                0.62341,                 1.1867,                0.80533,                 1.1595,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1035,                0.70185,                 1.0257,                0.89956,                0.77588,                0.87153,                0.61045,                 1.1863,                0.79681,                 1.1698,             0.00041275,             0.00041275,             0.00041275
